scoring_date,ACCOUNT_ID,SKU_ID,rank,score,k_recommended,model,generation_ts
2022-09-01,24855,19399,8,1.7426,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629388Z
2022-09-01,24855,16668,9,1.7227,9,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.629395Z
2022-09-01,25285,7038,1,3.3709,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.958451Z
2022-09-01,25285,7026,2,3.3094,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.958458Z
2022-09-01,25285,7651,3,3.1091,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.958465Z
2022-09-01,25285,2201,4,2.3888,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.958472Z
2022-09-01,25285,24880,5,2.2792,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.958478Z
2022-09-01,25285,23902,6,1.8454,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.958485Z
2022-09-01,25285,19337,7,1.7166,7,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.958491Z
2022-09-01,25480,19088,1,3.4154,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.993641Z
2022-09-01,25480,7038,2,2.8044,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.993648Z
2022-09-01,25480,19341,3,2.704,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.993655Z
2022-09-01,25480,7026,4,0.9771,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.993661Z
2022-09-01,25480,1416,5,0.8514,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.993668Z
2022-09-01,25480,14622,6,0.6993,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.993674Z
2022-09-01,25518,7651,1,3.11,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.897763Z
2022-09-01,25518,7038,2,2.8599,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.897770Z
2022-09-01,25518,24880,3,1.9657,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.897777Z
2022-09-01,25518,26567,4,1.9221,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.897783Z
2022-09-01,25518,2201,5,1.806,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.897790Z
2022-09-01,25518,25119,6,1.6869,6,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.897797Z
2022-09-01,25556,7651,1,4.8571,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764356Z
2022-09-01,25556,19088,2,3.6097,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764362Z
2022-09-01,25556,2201,3,3.5517,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764369Z
2022-09-01,25556,7038,4,3.0839,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764376Z
2022-09-01,25556,24118,5,2.9826,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764383Z
2022-09-01,25556,7026,6,2.9788,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764389Z
2022-09-01,25556,24880,7,2.9146,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764396Z
2022-09-01,25556,19341,8,2.4691,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764403Z
2022-09-01,25556,25119,9,2.4329,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764410Z
2022-09-01,25556,1416,10,2.1236,10,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.764416Z
2022-09-01,25917,7038,1,2.4829,5,"nmf_(k=20,_blend=0.5)",2026-02-23T18:53:19.749820Z
